3401	Rai 1 HD
3402	Rai 2 HD
3403	Rai 3 HD
123	Rete4 HD
122	Canale5 HD
121	Italia1 HD
79	LA7 HD
7260	TV8 HD
4323	Nove HD
3405	Rai 4 HD
124	Iris HD
127	La5 HD
17716	Rai 5 HD
3406	Rai Movie HD
8522	Rai Premium HD
130	Mediaset Italia2 HD
129	Mediaset Extra HD
4365	TV2000 HD
4120	cielo
120	20Mediaset HD
17714	Rai Sport HD
8518	Rai Storia HD
17711	Rai News 24 HD
128	TGCOM24 HD
8521	Rai Scuola HD
135	27Twentyseven HD
15202	DMAX Italy HD
73	LA7d HD
15201	Realtime Italy HD
16979	QVC HD
134	Focus HD
111	Cine34 HD
16962	Radio Italia Tv HD
4322	Giallo HD
132	TOPcrime HD
126	Boing HD
133	Cartoonito HD
17712	Rai Gulp HD
8511	Rai YoYo HD
15205	Frisbee
15204	K2
1327	Super!
307	Arte HD
16939	Mezzo TV
16977	RDS  Social TV
16963	EQUtv
15203	Food Network Italy HD
15212	Warner TV Italy HD
1332	GOLD TV
4334	HGTV Italy HD
4321	MotorTrend HD
4996	Solo Calcio
2017	EURONEWS ITALIAN SD PAL 1.8
1337	WeDo TV
808	France 24 HD (in English)
7306	Al Jazeera English HD
803	TRT World HD
533	NHK WORLD-JAPAN
807	France 24 HD (en Francais)
119	RADIO MONTE CARLO
7302	Bloomberg European TV
801	Euronews English HD
504	NASA TV HD
8512	Rai Radio 2 Visual
1307	RTL 102.5 HD
801	DAZN 1
802	DAZN 2
16942	Horse TV HD
16922	TRM h24
17743	Rai 3 TGR Südtirol HD
